"Feature","Gain","Cover","Frequency"
"rolling_mean_lag_t28_total_dept_sales",0.000948841699373779,0.00458494828403182,0.00899497884070114
"lag_t7_total_store_cat_sales",0.000944633307597429,0.00343798006620944,0.0103307165018245
"rolling_mean_lag_t28_total_state_cat_sales",0.000942302942846663,0.0032805179456576,0.00905569418893402
"dollar_sales",0.000936121250748087,0.00260031068189364,0.00896765693399634
"sell_price_to_max",0.000933700135662207,0.00518673805403018,0.00653297146985787
"mean_last_total_state_dept_sales",0.000929599086719822,0.00319281156256775,0.00849711298519153
"rolling_mean_lag_t28_total_state_dept_sales",0.000925943492921221,0.00342511969093581,0.0092196256291628
"mean_last_total_cat_sales",0.000920577913207757,0.00310436677304972,0.00786870913098122
"mean_last_total_state_sales",0.000907770170164452,0.00330796148185688,0.00905569418893402
"lag_t28_total_dept_sales",0.000897717095203367,0.00273882606460353,0.00859729330977578
"sell_price_to_min_lead_1",0.000863927408288098,0.00453531424374809,0.00781406531757163
"rolling_mean_lag_t28_total_store_sales",0.000855205009054168,0.00380724989793239,0.00891301312058675
"lag_t28_total_store_sales",0.000852277215263365,0.00384983589034264,0.00880979702859086
"lngth",0.00084139244951037,0.00283274740913401,0.00897676423623128
"lag_t28_total_store_cat_sales",0.000828379315781652,0.00334385911280313,0.00806603401273808
"rolling_mean_lag_t28_total_state_sales",0.000827281796834439,0.00263031253038408,0.00796585368815383
"lag_t28_total_sales",0.000821690378318473,0.00298557655399337,0.00769567038851751
"lag_t28_total_item_state_sales",0.000808919762253258,0.00352211032695792,0.00664529486408869
"lag_t7_total_state_cat_sales",0.000801771632916291,0.00274137095576001,0.00770477769075245
"lag_t7_total_sales",0.000796916079511407,0.00242422856712421,0.00755602508758189
"lag_t28_total_state_dept_sales",0.000786581285897262,0.00350432488329697,0.00890390581835182
"CV2",0.000786387131399073,0.00316817548372347,0.00806299824532644
"lag_t28_total_state_cat_sales",0.000775718466452922,0.00327751990819011,0.00813282089579425
"month_rbf_1",0.000761779297252027,0.00263614974788855,0.00494526511356806
"wday",0.000749254866050401,0.00668485269134119,0.00258950960213232
"sell_price_cumrel",0.000745428887937373,0.00327833371699314,0.00646314881939005
"lag_t14",0.000743718636724183,0.00689116920626201,0.00280808485577069
"sell_price_roll_sd7",0.000743137403397772,0.00346151439190658,0.00280504908835905
"meanl_last_total_sales",0.000737143496595369,0.00309765303344015,0.00760459736616819
"sell_price_to_max_lead_2",0.000730897915810991,0.00417697116782194,0.00539152292307973
"sell_price_diff_to_max_diff",0.000721943606263242,0.00506342686475079,0.00192467653898229
"rolling_mean_lag_t28_total_store_cat_sales",0.000717647081708968,0.00240018033397904,0.00688815625702021
"week_quarter",0.000710031425867799,0.00391539496099965,0.00516080459979478
"rolling_max_lag28_t7",0.000706921167029423,0.00352533481557061,0.00472365409251805
"lag_t21",0.000701658651211375,0.00345139680852084,0.0045202576759379
"sell_price_to_min",0.000700407326665576,0.00352806321024129,0.00693065700078323
"lag_t7_total_dept_sales",0.000667873595387617,0.00351746490621327,0.0067910116998476
"sell_price_to_min_lead_2",0.00065111663919885,0.00397897917269325,0.00615046477599072
"wday_rbf_6",0.000621117023736977,0.00182327700799195,0.0019459269108638
"mean_last_total_item_state_sales",0.000619557692824131,0.00283188089187477,0.00424703860888994
"month",0.000608367480745609,0.00488161636567814,0.00455972265228927
"rolling_min_lag7_t7",0.000569567186771662,0.00233986843894172,0.00180931737733982
"sell_price_rel_diff",0.000568731809290399,0.00548967917402722,0.00169699398310899
"best_price",0.000562538036012158,0.00225998901757822,0.000658761528326746
"sell_price_diff",0.000557394781490732,0.00423599634207413,0.00136305956782815
"lag_t28",0.000554585116379802,0.0022408853744708,0.00397078377443034
"wday_s1",0.00054459622923984,0.00206202459678079,0.0031541623406981
"wday_s2",0.000534423329894609,0.00356521169093998,0.00354274056938854
