"Feature","Gain","Cover","Frequency"
"sporting_value",5.50563132871218e-05,0.000313281961783383,0.000546704154951578
"has_event_lead_t2",5.41044492071994e-05,0.000472600800212738,0.000471122935373018
"semester",5.40627806665338e-05,0.000260389738252537,0.000438371073555643
"rolling_min_lag28_t30",5.38218816201262e-05,0.000462540955575701,0.000450967943485403
"type_1",4.68141348812633e-05,0.000109016476018569,0.000476161683344922
"type_2",3.50294780830757e-05,8.02291886610908e-05,0.000347673610061372
"has_event_lead_t3",3.41943900380748e-05,0.000184509554257149,0.00037034797593494
"cultural_event",3.07771858919759e-05,0.000327366882244515,0.000246898650623293
"Low25",2.55202993491279e-05,0.000180917495364264,0.000246898650623293
"religious_event",1.48997891648764e-05,4.35679386922268e-05,0.000128488073283551
"type_4",1.19538554833262e-05,7.71048743826172e-05,0.000105813707409983
"sporting_event",1.03478532611863e-05,7.83601722194468e-05,0.000113371829367839
"type_3",9.38859883703979e-06,9.05142727349332e-05,0.000100774959438079
"event_type_2",5.92938722118709e-06,9.60132149782628e-05,5.29068537049914e-05
"event_name_2",2.22099119593635e-06,8.19045541235303e-05,1.76356179016638e-05
