"","Epoch","Iteration","learning_rate","num_leaves","max_depth","min_data_in_leaf","bagging_fraction","bagging_freq","feature_fraction","feature_fraction_bynode","lambda_l1","lambda_l2","tweedie_variance_power","gpUtility","acqOptimum","inBounds","Elapsed","Score","nrounds_wrmsse","rmse","nrounds_rmse","errorMessage"
"17",5,17,0.01,3790,1,100,0.880290264554132,100,1,1,0,2,1,0.387197366752367,TRUE,TRUE,8.1880000000001,-2.51448564692891e-05,1000,0.0602097432900558,1000,NA
"18",6,18,0.01,2,6000,5,0.953956440844097,100,0.918227404240368,1,0.233532519905426,0,1,0.366245357871106,TRUE,TRUE,8.38400000000001,-4.61045953560194e-05,999,0.118674857312151,1000,NA
"19",7,19,0.6,10000,1304,5,0.854063321564133,24,1,0.1,0,1.95052799442718,1,0.35166638161952,TRUE,TRUE,4.17099999999846,-0.000190419874061534,373,0.483231603666494,97,NA
"20",8,20,0.6,2,4087,100,1,100,0.89302211269207,0.890278579990236,0,1.29209251111476,1.99,0.414091942686703,TRUE,TRUE,3.57599999999911,-1.63946527462011e-05,57,0.0278320422851739,342,NA
"21",9,21,0.6,4096,5317,100,0.663457718506598,73,1,0.930528725329743,0,0,1.15861888310479,0.363902660205379,TRUE,TRUE,17.6380000000008,-3.96087602161595e-05,15,0.0690679239898231,20,NA
"22",10,22,0.512131928237335,2,4875,100,1,100,1,0.697584610863236,2,1.17776352148475,1,0.349776164727396,TRUE,TRUE,8.00600000000122,-1.31286589152452e-06,999,0.00346962837940561,996,NA
"23",11,23,0.202061588533397,8816,3704,100,1,11,1,0.785883147570514,0.899890624980092,0,1.69494317134527,0.3256263426963,TRUE,TRUE,6.83400000000256,-1.6898824694783e-05,261,0.0505304185730015,264,NA
"24",12,24,0.6,1994,1,6,1,100,1,0.826400587711759,1.14476108132248,0.389640971296951,1.66752735841564,0.300794253211715,TRUE,TRUE,8.7390000000014,-5.71955374557248e-07,999,0.00217110864313662,999,NA
"25",13,25,0.6,5320,1,100,1,100,0.893165266132472,0.692817502418343,0,0,1,0.264416208827676,TRUE,TRUE,8.01299999999901,-1.17553868324112e-06,1000,0.00381723684067688,997,NA
"26",14,26,0.6,10000,1,100,1,100,1,0.789760836314171,2,2,1.80898345290741,0.252906592263121,TRUE,TRUE,8.68600000000151,-3.06167783209092e-06,990,0.0189725727849537,999,NA
"27",15,27,0.6,4492,1,100,1,100,1,1,2,0,1.16819548862458,0.250800877983353,TRUE,TRUE,9.02500000000146,-5.26530335036747e-07,990,0.0023415830593526,998,NA
